127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002655
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001242
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.003874
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.003466
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001986
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000695
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000651
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001284
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001306
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002606
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001832
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001379
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/js/typeahead.min.js, HTTP/1.1, 200, 0.000634
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/js/ajax_editor.js, HTTP/1.1, 200, 0.001642
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000768
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/_2.9.12/images/files_toggle.png, HTTP/1.1, 200, 0.000381
127.0.0.1, 2015-03-14 02:55:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.072438
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.091815
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.110351
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.137525
127.0.0.1, 2015-03-14 02:55:12, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000413
127.0.0.1, 2015-03-14 02:55:12, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.086843
127.0.0.1, 2015-03-14 02:55:12, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.179808
127.0.0.1, 2015-03-14 02:56:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.073094
127.0.0.1, 2015-03-14 02:56:13, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.966125
127.0.0.1, 2015-03-14 02:56:17, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.053401
127.0.0.1, 2015-03-14 02:56:19, GET, /admin/default/index, HTTP/1.1, 303, 0.013017
127.0.0.1, 2015-03-14 02:56:19, GET, /admin/default/site, HTTP/1.1, 200, 0.075075
127.0.0.1, 2015-03-14 02:56:19, GET, /admin/default/null, HTTP/1.1, 404, 0.008819
127.0.0.1, 2015-03-14 02:56:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000371
127.0.0.1, 2015-03-14 02:56:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2015-03-14 02:56:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2015-03-14 02:56:20, GET, /myapp/default/index, HTTP/1.1, 200, 0.019440
127.0.0.1, 2015-03-14 02:56:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2015-03-14 02:57:08, GET, /admin/default/site, HTTP/1.1, 200, 0.032937
127.0.0.1, 2015-03-14 02:57:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2015-03-14 02:57:08, GET, /admin/default/null, HTTP/1.1, 404, 0.006483
127.0.0.1, 2015-03-14 02:57:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000156
127.0.0.1, 2015-03-14 02:57:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2015-03-14 02:57:12, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.074839
127.0.0.1, 2015-03-14 02:57:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2015-03-14 02:57:16, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.029262
127.0.0.1, 2015-03-14 02:57:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2015-03-14 02:57:16, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.033054
127.0.0.1, 2015-03-14 02:57:16, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.065007
127.0.0.1, 2015-03-14 02:57:16, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.104523
127.0.0.1, 2015-03-14 02:57:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.123138
127.0.0.1, 2015-03-14 02:57:16, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.074482
127.0.0.1, 2015-03-14 02:57:16, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 0.199642
